dataset,method,n_components,last,policy,mean,std,time,xcols,xcols_reduced,rank,all_results
data/data2/SS-O.csv,Numeric Feature Elimination (5),5.0,30,Random,0.48915094339622645,0.026729097295296576,0.22875214815139772,10,6,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.4528301886792453, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.41509433962264153, 0.41509433962264153, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,FAMD (5),5.0,30,explore,0.5,0.0,0.38282874822616575,10,5,3,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Numeric Feature Elimination (5),5.0,30,explore,0.5,0.0,0.2406148910522461,10,6,2,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Symbolic Feature Elimation (5) with EFB Discretization,5.0,30,exploit,0.5,0.0,0.41891934871673586,10,6,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Numeric Feature Elimination (5),5.0,30,FOCUS,0.5,0.0,0.21718735694885255,10,6,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,FAMD (5),5.0,30,Random,0.5,0.0,0.44245721101760865,10,5,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Symbolic Feature Elimation (5) with Kmeans Discretization,5.0,30,FOCUS,0.5,0.0,0.30622861385345457,10,6,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Original,,40,explore,0.4915094339622641,0.025471698113207545,0.22941385507583617,10,10,0,"[0.41509433962264153, 0.5, 0.5, 0.5, 0.5, 0.5, 0.41509433962264153, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Symbolic Feature Elimation (5) with EFB Discretization,5.0,40,exploit,0.5,0.0,0.5008317470550537,10,6,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Symbolic Dimensionality Reduction (5) with EFB Discretization,5.0,40,explore,0.49764150943396224,0.01028042203665253,0.4439187407493591,10,5,1,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.4528301886792453, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Numeric Dimensionality Reduction (5),5.0,40,explore,0.4915094339622641,0.025471698113207545,0.17189404964447022,10,5,0,"[0.41509433962264153, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.41509433962264153, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Numeric Dimensionality Reduction (5),5.0,40,FOCUS,0.49764150943396224,0.01028042203665253,0.17973613739013672,10,5,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.4528301886792453, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Symbolic Dimensionality Reduction (5) with Kmeans Discretization,5.0,40,Random,0.4915094339622641,0.02547169811320754,0.558260703086853,10,5,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.41509433962264153, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.41509433962264153]"
data/data2/SS-O.csv,Numeric Dimensionality Reduction (5),5.0,40,exploit,0.49575471698113205,0.018504759665974552,0.18627705574035644,10,5,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.41509433962264153, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Numeric Feature Elimination (5),5.0,40,explore,0.5,0.0,0.39391790628433226,10,6,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Symbolic Feature Elimation (5) with EFB Discretization,5.0,40,explore,0.5,0.0,0.5658780455589294,10,6,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Original,,40,FOCUS,0.4915094339622641,0.025471698113207545,0.23325250148773194,10,10,0,"[0.5, 0.41509433962264153, 0.41509433962264153, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
data/data2/SS-O.csv,Symbolic Dimensionality Reduction (5) with EFB Discretization,5.0,40,exploit,0.49764150943396224,0.01028042203665253,0.40357303619384766,10,5,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.4528301886792453, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
